"Nature(Classification)","CaseNumber","DateReported","DateOccurred",Time,General Location,"OffCampus(Y or N)",Disposition
Stalking,NA-15-2021,03/01/2021,02/14/2021,2200,Potomac House,N,Closed. No further action.
Simple Assault,2100141,03/01/2021,03/01/2021,1655,University Mall,N,Closed. No identifiable suspect.
"Traffic Accident: Hit andRun",2100149,03/03/2021,03/03/2021,0815,MFA/ACC Garage,N,Closed. No identifiable suspect.
Unlawful Entry,2100157,03/04/2021,03/04/2021,2048,District House,N,Closed. Subject arrested.
Fraud 1D/Fraud,2100170,03/09/2021,03/08/2021,1014-1800,Statesman Apartments,N,Closed. No identifiable subject.
Attempted Fraud,2100173,03/10/2021,03/10/2021,1730,Statesman Apartments,N,Closed. No identifiable subject.
Sexual Assault,NA-16-2021,03/11/2021,02/25/2021,Unknown,"2200 Pennsylvania Avenue, N.W.(The Avenue)",N,Closed. No further action.
Sexual Assault,NA-17-2021,03/12/2021,Unknown,Unknown,Unknown,N,Closed. No further action.
Unlawful Entry,2100177,03/11/2021,03/11/2021,1559,District House,N,Closed. Subject arrested.
"Harassment(Verbal or Written)",2100178,03/12/2021,03/12/2021,1211,"Gelman Library(Starbucks)",N,Closed. No identifiable subject.
Theft II/From Building,2100182,03/14/2021,03/14/2021,0720,"Mitchell Hall(7-Eleven Store)",N,Closed. No identifiable subject.
"Urinating or Defecating inPublic",2100189,03/17/2021,03/17/2021,0038,"Public Property On Campus(20th and G Street NW)",N,Closed. Referred to DSA.
"Traffic Accident: Hit andRun",2100197,03/19/2021,03/19/2021,0450,Off Campus,N,Closed. Referred to MPD.
Liquor Law Violation,2100199,03/20/2021,03/20/2021,0241,Shenkman Hall,N,Closed. Referred to DSA.
Disorderly Conduct,2100201,03/20/2021,03/19/2021,1252,"Public Property On Campus(2100 Block of H Street NW)",N,Closed. No identifiable suspect.
Liquor Law Violation,2100203,03/21/2021,03/21/2021,0102,South Hall,N,Closed. Referred to DSA.
Theft II/From Building,2100205,03/21/2021,03/21/2021,0714,"Mitchell Hall(7-Eleven Store)",N,Closed. No identifiable suspect.
Theft II/ From Building,2100209,03/23/2021,03/22/2021,1715,Science and Engineering Hall,N,Closed.  No identifiable.
Fraud/2D,2100215,03/24/2021,Multiple,Multiple,Off Campus,Y,Closed. Referred to FBI.
Sexual Assault,NA-18-2021,03/26/2021,09/01/2019,Unknown,Fulbright Hall,N,Closed. No further action.
Theft I/ Other Vehicle,2100224,03/26/2021,03/26/2021,Unknown,Private Property Within Campus Bound,N,Closed. Subject identified.
"Simple Assault,Destruction ofProperty/Vandalism",2100225,03/26/2021,03/26/2021,1826,Tonic Restaurant,N,Closed. Subject arrested.
Burglary I/Forcible,2100226,03/27/2021,03/27/2021,0131,District House,N,Closed. Subject arrested.
Public Drunkenness,2100229,03/28/2021,03/28/2021,0445,"1959 E Street N.W.(Residential)",N,Closed. Referred to DSA.
Theft II/Bicycles,2100231,03/29/2021,03/29/2021,1402-1505,"Public Property On Campus(2200 Block of G Street NW)",N,Closed. No identifiable suspect.
Threats to do Bodily Harm,2100234,03/29/2021,03/29/2021,2312,"Public Property On Campus(700 Block of 22nd Street NW)",N,Closed. No identifiable suspect.
Simple Assault,2100236,03/30/2021,03/29/2021,2330,Kogan Plaza,N,Closed. No identifiable suspect.
"Stalking, Threats to doBodily Harm",2100237,03/30/2021,Multiple,Multiple,1922 F Street NW,N,Closed. No further action.
Theft II/From Building,2100241,03/30/2021,Unknown,Unknown,Science and Engineering Hall,N,Closed. No suspects or witnesses.
Unlawful Entry,2100242,03/30/2021,03/30/2021,1830,Ross Hall,N,Closed. Subject barred.
