NATURES OF CRIMES,CASE NUMBERS,"DATE/TIMEREPORTED","DATE/TIMEOCCURRED",GENERAL LOCATION
Student Misconduct,16-0028,01-12-16/2107,01-12-16/2107,quadrangle Hall,Active
Student Misconduct,16-0029,01-12-16/2210,01-12-16/2208,quadrangle Hall,Active
Hazardous Water Leak,16-0030,01-11-16/2233,01-11-16/2233,Law School,Inactive
Sick Person,16-0031,01-13-16/0016,01-13-16/0007,Bethune Hall Annex,Inactive
Hazardous Water Leak,16-0032,01-13-16/0140,01-13-16/0140,Cook Hall,Inactive
Vehicle Accident,16-0033,01-13-16/0810,01-13-16/0810,Lower  Campus,Active
Vehicle Accident,16-0034,01-13-16/0950,01-13-16/0945,Childers Lot,Active
Theft 2,16-0035,01-13-16/1542,01-13-16/1505,Dental School,Active
Lost Property,16-0036,01-13-16/1606,01-13-16/1606,Quadrangle Hall,Inactive
Miscellaneous,16-0037,01-13-16/1706,01-13-16/1706,College Hall North,Inactive
Lost Property,16-0038,01-13-16/1949,01-13-16/1949,quadrangle Hall,Inactive
Sick Person,16-0039,01-13-16/2345,01-13-16/2342,HU Hospital,Inactive
Injured Person,16-0040,01-13-16/0254,01-13-16/0249,HU Hospital,Active
Theft 2,16-0041,01-14-16/1200,01-14-16/1200,Bethune Hall Annex,Active
Simple Assault,16-0042,01-14-16/1246,01-14-16/1244,School of Business,Active
Theft 2,16-0043,01-14-16/1550,01-13-16/1630,Burr  Gymnasium,Active
Sick Person,16-0044,01-14-16/1613,01-14-16/1613,Blackburn Center,Inactive
Sick Person,16-0045,01-14-16/1622,01-14-16/1530,Quadrangle Hall,Inactive
Sick Person,16-0046,01-14-16/1626,01-14-16/1626,Blackburn Center,Inactive
Theft 2,16-0047,01-14-16/2339,01-14-16/2339,College Hall South,Active
Suspicious Odor,16-0048,01-14-16/2358,01-14-16/2351,Plaza Towers,Active
Damaged Property,16-0049,01-15-16/1344,01-15-16/1344,Miner Lot,Inactive
Theft from Auto,16-0050,01-15-16/1441,01-15-16/1435,Business Lot,Active
Theft 2,16-0051,01-15-16/1713,01-15-16/1713,Wonder Plaza,Active
Fire Alarm Activation,16-0052,01-15-16/1818,01-15-16/1817,Howard Center,Inactive
Hazardous Water Leak,16-0053,01-15-16/1740,01-15-16/1734,Adams  Building,Inactive
Miscellaneous,16-0054,01-15-16/1556,01-15-16/1556,Blackburn Center,Inactive
