"Nature(Classification)","CaseNumber","DateReported","DateOccurred",Time,General Location,"OffCampus(Y or N)",Disposition
Stalking,2100515,08/01/2021,Multiple,Multiple,Off Campus,Y,Open case.
Theft II/From Building,2100517,08/03/2021,08/03/2021,1535,"Mitchell Hall(7-Eleven Store)",N,Closed. No identifiable suspect.
"Stalking, Harassment: E-Mail and electronic media,Harassing Telephone Calls",2100520,08/04/2021,Multiple,Multiple,Off Campus,Y,Open case.
"Destruction ofProperty/Vandalism",2100522,08/04/2021,07/31/2021,Multiple,"Public Property On Campus(900 Block of 23rd Street N.W.)",N,Closed. Referred to MPD.
Unlawful Entry,2100530,08/10/2021,08/10/2021,0210,"MVC(Pool)",N,Closed. Subjects barred.
"Theft II/Bicycles,Destruction ofProperty/Vandalism",2100532,08/10/2021,08/10/2021,1231,"Public Property On Campus(700 Block of 21st Street, N.W.)",N,Closed. No identifiable suspect.
Theft I/From Building,2100536,08/13/2021,08/13/2021,1230,Science and Engineering Hall,N,Open case.
Public Drunkeness,2100539,08/15/2021,08/15/2021,0153,"Public Property On Campus(2100 Block of Eye Street, N.W.)",N,Closed. Referred to DSA.
"Simple Assault (DatingViolence),Destroying/DefacingStructure",2100545,08/18/2021,08/18/2021,0200,Shenkman Hall,N,Closed. Subject barred.
Attempted Fraud,2100548,08/19/2021,08/16/2021,Unknown,Off Campus,Y,Closed. Off campus incident.
Unlawful Entry,2100549,08/19/2021,08/19/2021,1041,Shenkman Hall,N,Closed. Subject barred.
"Destruction ofProperty/Vandalism",2100554,08/20/2021,07/08/2021,0300-0600,Off Campus,Y,Closed. No suspects or witnesses.
Simple Assault,2100556,08/20/2021,08/20/2021,2309,"Public Property on Campus(2200 Block of Eye Street, N.W.)",N,Closed. Subject arrested.
"Burglary II/Forcible,Destruction ofProperty/Vandalism",2100557,08/21/2021,08/21/2021,0145,"Building E(Law School)",N,Closed. Subject arrested.
"Harassment (Verbal orWritten), Simple Assault",2100560,08/21/2021,08/21/2021,2256,"Public Property On Campus(2000 Block G Street, N.W.)",N,Closed. Subject barred.
"Theft II/from MotorVehicle, Destruction ofProperty",2100561,08/21/2021,08/21/2021,2215-2345,"Public Property On Campus(2100 Block of Eye Street, N.W.)",N,Closed. No suspects or witnesses.
Sexual Assault,2100563,08/22/2021,08/21/2021,Unknown,Off Campus,Y,Closed. Referred to MPD.
"Destruction ofProperty/Vandalism",2100564,08/22/2021,Unknown,Unknown,"Public Property On Campus(2100 Block of Eye Street, N.W.)",N,Closed. No identifiable suspect.
Theft II/Bicycles,2100573,08/24/2021,Unknown,Unknown,"Public Property On Campus(2100 Block of F Street, N.W.)",N,Closed. No suspects or witnesses.
Liquor Law Violation,2100578,08/25/2021,08/25/2021,0019,Strong Hall,N,Closed. Referred to DSA.
Theft II/From Building,2100571,08/23/2021,08/22/2021,1900,University Student Center,N,Open case.
Fondling,NA-22-2021,08/25/2021,08/19/2021,1700,University Student Center,N,Closed. No further action.
"Threats in a MenacingManner",2100580,08/25/2021,08/25/2021,1428,"Public Property On Campus (2200Block of Eye Street, N.W.)",N,Open case.
Theft II/Other,2100583,08/25/2021,08/25/2021,1900,University Yard,N,Open case.
Liquor Law Violation,2100586,08/26/2021,08/26/2021,0126,Mitchell Hall,N,Closed. Referred to DSA.
Theft II/From Building,2100587,08/27/2021,08/26/2021,Unknown,Off Campus,N,Closed. Off campus incident.
Liquor Law Violation,2100592,08/27/2021,08/27/2021,0244,Mitchell Hall,N,Closed. Referred to DSA.
Theft II/From Building,2100593,08/27/2021,08/25/2021,Unknown,VSTC,N,Open case.
"Destruction ofFixtures/Vandalism",2100597,08//27/2021,08/27/2021,2224,Mitchell Hall,N,Open case.
Liquor Law Violation,2100598,08/27/2021,08/27/2021,2351,Fulbright Hall,N,Closed. Referred to DSA.
Theft II/Bicycles,2100601,08/28/2021,08/28/2021,1340,"Public Property On Campus(2200 Block of Eye Street, N.W.)",N,Closed. No identifiable suspect.
Public Drunkeness,2100603,08/29/2021,08/29/2021,0030,"Public Property On Campus(2100 Block of H Street, N.W.)",N,Closed. No further action.
Liquor Law Violation,2100604,08/29/2021,08/29/2021,0118,Mitchell Hall,N,Closed. Referred to DSA.
Theft II/Bicycles,2100606,08/29/2021,Unknown,Unknown,2028 G Street Garage/LLC,N,Open case.
Theft I/From Building,2100610,08/30/2021,Unknown,Unknown,Ross Hall,N,Open case.
Fondling,NA-23-2021,08/30/2021,08/27/2021,Unknown,JBKO Hall,N,Closed. No further action.
Attempted Fraud,2100615,08/31/2021,08/08/2021,Unknown,Off Campus,Y,Closed. Off campus incident.
