"Nature(Classification)","CaseNumber","DateReported","DateOccurred",Time,General Location,"OffCampus(Y or N)",Disposition
"Robbery PurseSnatch/Larceny",2100246,04/01/2021,03/31/2021,1445,"Public Property on Campus(800 Block of 21st Street, N.W.)",N,Closed. Referred to MPD.
Disorderly Conduct,2100247,04/01/2021,04/01/2021,2236,"Mitchell Hall(7-Eleven Stores)",N,Closed. No identifiable subject.
"Simple Assault/DatingViolence, Kidnapping",2100248,04/02/2021,04/02/2021,0030,District House,N,Open case.
Liquor Law Violation,2100253,04/03/2021,04/03/2021,0022,South Hall,N,Closed. Referred to DSA.
Theft II/From Building,2100254,04/03/2021,04/02/2021,1830-1930,Science and Engineering Hall,N,Closed. No suspects or witnesses.
Liquor Law Violation,2100256,04/03/2021,04/03/2021,1943,District House,N,Closed. Referred to DSA.
"Theft II/Other, Threats todo Bodily Harm",2100257,04/04/2021,04/04/2021,0026,"Public Property On Campus(2100 Block of E Street, N.W.)",N,Closed. Subject arrested.
"Theft II/from MotorVehicle, Unlawful Entry ofa Motor Vehicle,Destruction ofProperty/Vandalism",2100258,04/04/2021,04/04/2021,1015,Off Campus,Y,Closed. Off campus incident.
"Voyeurism, Blackmail",2100262,04/05/2021,04/04/2021,0000-0400,Off Campus,Y,Closed. Off campus incident.
Unlawful Entry,2100264,04/06/2021,04/06/2021,0028,"Science and Engineering Hall(Garage)",N,Closed. Subject barred.
Theft II/From Building,2100272,04/08/2021,04/08/2021,1748,"Mitchell Hall(7-Eleven Stores)",N,Closed. No identifiable subject..
"Harassment (Verbal orWritten)",2100277,04/09/2021,4/09/2021,1334,Off Campus,Y,Closed. Referred to DSA.
"Weapons Violation, SimpleAssault, Theft II/Other",2100279,04/09/2021,04/09/2021,2109,"Public Property on Campus(2200 Block of Eye Street, N.W.)",N,Closed. Subject arrested.
"DisorderlyConduct/Intoxication, FalseFire Alarm, Simple Assault",2100285,04/12/2021,04/12/2021,0001,Support Building,N,Closed. Referred to DSA.
"Destruction ofProperty/Vandalism",2100287,04/12/2021,04/12/2021,0111,District House,N,Closed. Referred to DSA.
Theft II/Other,2100289,04/12/2021,Unknown,Unknown,District House,N,Closed. No suspects or witnesses.
Unlawful Entry,2100290,04/12/2021,04/12/2021,1812,Off Campus,Y,Closed. Referred to MPD.
"Traffic Accident: Hit andRun",2100294,04/14/2021,Unknown,Unknown,"Public Property On Campus(2200 Block of H Street N.W.)",N,Closed. No suspects or witnesses.
Fraud 1D,2100296,04/14/2021,Multiple,Multiple,Off Campus,Y,Closed. Off campus incident.
"Sexual Assault, LiquorLaw Violation",NA-19-2021,4/15/2021,Unknown,Unknown,District House,N,Closed. No further action.
"Theft I/From MotorVehicle, Credit Card Fraud",2100303,04/16/2021,04/16/2021,1615-1815,Off Campus,N,Closed. Off campus incident.
"Unauthorized Use of MotorVehicle/Theft Auto",2100312,04/23/2021,04/23/2021,1736,"Public Property on Campus(2300 Block of Eye Street, N.W.)",N,Closed. Referred to MPD.
Destruction of,2100313,04/23/2021,04/23/2021,2016-2043,"605 22nd Street, N.W.",N,Closed.  No identifiable suspect.
"Property/Vandalism,",,,,,,,
Burglary II/Forcible,,,,,,,
Fondling,NA-20-2021,04/27/2021,02/13/2020,Unknown,Tonic Restaurant,N,Closed. No further action.
"",,,,,"(2036 G Street, N.W.)",,
Sexual Assault,2100319,04/27/2021,04/27/2021,1945,7-Eleven Store,Y,Open case.
"",,,,,"(912 New Hampshire Ave., N.W.)",,
Sexual Assault,NA-21-2021,04/29/2021,03/22/2021,Unknown,District House,N,Closed. No further action.
