"Nature(Classification)","CaseNumber","DateReported","DateOccurred",Time,General Location,"OffCampus(Y or N)",Disposition
Sexual Assault,NA-01-2021,02/03/2021,Unknown,Unknown,Off Campus,Y,Closed. No further action.
Fondling,NA-02-2021,02/03/2021,Unknown,Unknown,Unknown,N,Closed. No further action.
Stalking,NA-03-2021,02/03/2021,Unknown,Unknown,Unknown,Unknown,Closed. No further action.
Sexual Assault,NA-04-2021,02/03/2021,Unknown,Unknown,Unknown,Unknown,Closed. No further action.
Fondling,NA-05-2021,02/03/2021,08/02/2020,Unknown,Unknown,N,Closed. No further action.
"Simple Assault(Dating Violence)",NA-06-2021,02/03/2021,Unknown,Unknown,Off Campus,Y,Closed. No further action.
Fondling,NA-07-2021,02/03/2021,Unknown,Unknown,Unknown,Unknown,Closed. No further action.
Stalking,NA-08-2021,02/03/2021,11/01/2020,Unknown,Unknown,N,Closed. No further action.
Sexual Assault,NA-09-2021,02/03/2021,10/04/2019,Unknown,District House,N,Closed. No further action.
Theft II/From Building,2100064,02/03/2021,02/03/2021,1135,"7-Eleven Store(912 New Hampshire Ave. N.W.)",Y,Closed. No further action.
Sexual Assault,2100067,02/03/2021,02/03/2021,1930,Off Campus,Y,Closed. Off campus incident.
Panhandling,2100069,02/04/2021,02/05/2021,1323,"Public Property on Campus (2300Block of G Street, N.W.)",N,Closed. No further action.
"Destruction ofProperty/Vandalism",2100073,02/05/2021,Unknown,Unknown,Lisner Auditorium,N,Closed. No identifiable subject.
Disorderly Conduct,2100076,02/05/2021,02/05/2021,1400,"1959 E Street N.W.(SecreTea Market)",N,Closed. No identifiable subject.
"Destruction ofProperty/Vandalism",2100080,02/07/2021,Unknown,Unknown,Ross Hall,N,Closed. No suspects or witnesses.
"Fondling, Simple Assault",NA-10-2021,02/08/2021,03/12/2020,Unknown,Mitchell Hall,N,Closed. No further action.
Fondling,NA-11-2021,02/08/2021,01/25/2019,Unknown,"605 22nd Street, N.W.",N,Closed. No further action.
Fondling,NA-12-2021,02/10/2021,02/01/2020,Unknown,Unknown,N,Closed. No further action.
Liquor Law Violation,2100096,02/14/2021,02/14/2021,0114,Potomac House,N,Closed. Referred to DSA.
Liquor Law Violation,2100097,02/14/2021,02/14/2021,0108,Potomac House,N,Closed. Referred to DSA.
Liquor Law Violation,2100099,02/14/2021,02/14/2021,0053,Potomac House,N,Closed. Referred to DSA.
Unlawful Entry,2100102,02/14/2021,02/14/2021,1450,Duques Hall,N,Closed. Subject barred.
"Theft II/from MotorVehicle",2100105,02/16/2021,02/16/2021,1300,"Public Property On Campus(2200 Block of G Street, N.W.)",N,Closed. Referred to MPD.
Robbery Force & Violence,2100107,02/16/2021,02/16/2021,1417,"7-Eleven Store(912 New Hampshire Ave. N.W.)",Y,Closed. Referred to MPD.
"Fondling, Simple Assault",NA-13-2021,02/17/2021,09/07/2020,0000,Off Campus,Y,Closed. No further action.
Unlawful Entry,2100108,02/17/2021,02/17/2021,1340,1918 F Street,N,Closed. Subject barred.
Robbery- Armed,2100110,02/17/2021,02/17/2021,2057,"7-Eleven Store(912 New Hampshire Ave. N.W.)",N,Closed. Referred to MPD
Harassing Telephone Calls,2100111,02/18/2021,02/17/2021,1015-1502,Various Locations,N,Open case.
Burglary II/Non-Forcible,2100119,02/22/2021,Unknown,Unknown,"Webb Building(MVC)",N,Open case.
"Unlawful Entry,Destruction ofProperty/Vandalism",2100122,02/23/2021,Unknown,Unknown,"Webb Building(MVC)",N,Open case.
Unlawful Entry,2100124,02/24/2021,02/24/2021,0532,Duques Hall,N,Closed. Subject barred.
Sexual Assault,NA-14-2021,02/26/2021,02/25/2021,1200,Unknown,Unknown,Closed. No further action.
Harassing Telephone Calls,2100129,02/25/2021,02/25/2021,0759,Academic Center,N,Open case.
Unlawful Entry,2100132,02/25/2021,02/25/2021,2047,Amsterdam Hall,N,Closed. Subject barred.
Liquor Law Violation,2100135,02/28/2021,02/28/2021,0031,South Hall,N,Closed. Referred to DSA.
Theft I/Bicycles,2100136,02/28/2021,02/28/2021,0217,Potomac House,N,Closed. Referred to DSA.
